width=2048
height=2048
texname	filename	originx	originy	width	height	usecount	teamcolor
00	00.bmp	640	336	1	1	0	0
32xgouraud	32XGouraud.tga	640	192	64	64	0	1
32xlogos	32xlogos.tga	576	192	64	64	0	1
amhov0800	AmHov0800.tga	944	192	16	64	0	0
arctcam100	arctcam100.bmp	624	336	1	1	0	0
arctcam200	arctcam200.bmp	608	336	1	1	0	0
arctcam300	arctcam300.bmp	592	336	1	1	0	0
arctcam400	arctcam400.bmp	576	336	1	1	0	0
arm01b00	arm01b00.bmp	560	336	1	1	0	0
arm01c00	arm01c00.bmp	544	336	1	1	0	0
arm01d00	arm01d00.bmp	528	336	1	1	0	0
arm02b00	arm02b00.bmp	512	336	1	1	0	0
arm02c00	arm02c00.bmp	496	336	1	1	0	0
arm02d00	arm02d00.bmp	480	336	1	1	0	0
arm07g00	arm07g00.bmp	464	336	1	1	0	0
arm32dk	Arm32Dk.tga	816	256	48	48	0	1
arm32lt	Arm32Lt.tga	512	192	64	64	0	0
arm3a00	arm3a00.bmp	448	336	1	1	0	0
arm3b00	Arm3b00.tga	1568	256	64	32	0	0
arm3d00	arm3d00.bmp	432	336	1	1	0	0
arm4a00	arm4a00.bmp	416	336	1	1	0	0
arm4b00	Arm4b00.tga	448	192	64	64	0	0
arm4c00	Arm4c00.tga	384	192	64	64	0	0
arm4d00	Arm4d00.tga	320	192	64	64	0	0
arm5b00	arm5b00.bmp	400	336	1	1	0	0
arm6c00	Arm6c00.tga	256	192	64	64	0	0
arm6d00	Arm6d00.tga	192	192	64	64	0	0
arm7b00	Arm7b00.tga	128	192	64	64	0	0
armb	armb.bmp	384	336	1	1	0	0
armbld200	armbld200.bmp	368	336	1	1	0	0
armbld300	armbld300.bmp	352	336	1	1	0	0
armcam1a00	Armcam1a00.tga	512	304	32	32	0	0
armcam1b00	Armcam1b00.tga	512	0	96	96	0	0
armcam2a00	armcam2a00.bmp	336	336	1	1	0	0
armcam2b00	armcam2b00.BMP	704	128	64	64	0	0
armcam3a00	armcam3a00.BMP	640	128	64	64	0	0
armcam3b00	armcam3b00.BMP	576	128	64	64	0	0
armcam3c00	armcam3c00.BMP	512	128	64	64	0	0
armcama2a00	armcama2a00.bmp	320	336	1	1	0	0
armdome100	armdome100.bmp	304	336	1	1	0	0
armhov0100	ArmHov0100.tga	928	192	16	64	0	0
armhov0200	ArmHov0200.tga	912	192	16	64	0	0
armhov0300	ArmHov0300.tga	896	192	16	64	0	0
armhov0400	ArmHov0400.tga	880	192	16	64	0	0
armhov0700	ArmHov0700.tga	864	192	16	64	0	0
armlogogouraud	ArmLogoGouraud.tga	64	192	64	64	0	0
armpanel100	Armpanel100.tga	1504	256	64	32	0	0
armpanel200	armpanel200.bmp	288	336	1	1	0	0
armpanel300	armpanel300.bmp	272	336	1	1	0	0
armpanel400	Armpanel400.tga	1440	256	64	32	0	0
armv01a00	armv01a00.bmp	256	336	1	1	0	0
armv01b00	armv01b00.bmp	240	336	1	1	0	0
armv02a00	ARMv02a00.tga	992	192	16	64	0	0
armv02b00	ARMv02b00.tga	976	192	16	64	0	0
armv02c00	ARMv02c00.tga	960	192	16	64	0	0
armv3a00	ArmV3a00.tga	832	192	32	64	0	0
armv3b00	ArmV3b00.tga	800	192	32	64	0	0
armv3c00	ArmV3c00.tga	768	192	32	64	0	0
armv3d00	ArmV3d00.tga	736	192	32	64	0	0
armv4a00	armv4a00.bmp	224	336	1	1	0	0
beacon100	Beacon100.tga	1376	256	64	32	0	0
